Id,Type,Price,Square,Building,Address,Latitude,Longitude,Link
121,супермаркет,330000.0,111.0,жилой дом,"Санкт-Петербург, наб. Макарова, 28",59.9484254,30.2810005,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_torgovoe_pomeschenie_111_m_2233329816
122,супермаркет,54100800.0,204.0,жилой дом,"Санкт-Петербург, Наличная ул., 44к1",59.9520893,30.2330151,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_204_m_1983105443
125,супермаркет,85000.0,65.0,жилой дом,"Санкт-Петербург, ул. Кораблестроителей, 30",59.9517811,30.2164526,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_65_m_2940571727
127,магазин,470000.0,626.4,отдельное здание,"Санкт-Петербург, 1 линия , 4",59.9040741,29.714804,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_626.4_m_2524679909
128,супермаркет,90000.0,101.7,жилой дом,"Санкт-Петербург, ул. Челюскина, 6",59.9416713,30.190683999954462,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_101.7_m_2839881418
129,супермаркет,90000.0,105.0,жилой дом,"Санкт-Петербург, Морская наб., 35к6",59.95850195,30.2222793819258,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105_m_3060403751
132,супермаркет,90000.0,50.4,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_50.4_m_2457039771
133,супермаркет,260000.0,200.0,жилой дом,"Санкт-Петербург, Железноводская ул., 68",59.9491966,30.2344488,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_naprotiv_m_primorskoy_200_m_2971593055
134,супермаркет,119600.0,92.0,жилой дом,"Санкт-Петербург, проспект КИМа, 6",59.950888,30.246385,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_92_m_2585369453
135,супермаркет,100000.0,100.0,жилой дом,"Санкт-Петербург, Вилькицкий бульвар, 7",59.9385258,30.1962098,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_100_m_2982047265
137,супермаркет,20000.0,6.1,жилой дом,"Санкт-Петербург, 26 линия , 15Б",59.8232153,30.2505007,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_6.1_m_3170102589
138,супермаркет,50000.0,58.0,жилой дом,"Санкт-Петербург, Наличная ул., 7",59.930972,30.23736416256968,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_58_m_2722687411
